idx,question,story,properties,answer_options,answer,question_is_multiple
"{'story': mc500.test.2, 'question': 2}",What was Justin's father's name?,"A little boy named Justin lived on a farm.  His father James owned the farm.  His uncles Jerry, Todd, and Billy also worked on the farm.\newline\newlineThe farm had chickens, cows, horses, sheep, and pigs.  He loved to play with all of the animals on the farm, but the horses were his favorite.  He would spend all day riding the horses.  He loved when baby horses were born.  They were born in the spring.  When a baby horse was born, Justin's father would bring the baby out of the barn for Justin to pet.  \newline\newlineJustin also loved playing in the fields on the farm.  He would run through the meadows trying to catch butterflies.  He also loved to stay up late and catch fireflies in the dark.  \newline\newlineJustin also loved going fishing in the summer.  On one Tuesday evening, he went to the farm's pond and caught a huge catfish.  The fish was so large that it almost broke his fishing pole.  Justin brought the fish in.  \newline\newlineThe fish looked at Justin with sad eyes.  Looking at the fish, Justin felt bad that he had caught it.  He threw the catfish back into the pond.\newline \newlineHe packed away his fishing pole and went back home.  He told his father about the catfish and how he let it go.  \newline\newlineHis father said, ""I am proud of you for doing that, son.""","{'author': 4050452632, 'work_time': 1072, 'quality_score': 95, 'creativity_words': [riding, thank, auntie, walk, write, maybe, welcome, twinkle, sing, party, winning, bearing, arm, present, twinkle]}","{'A': James, 'B': Jerry, 'C': Todd, 'D': Billy}",A,FALSE
"{'story': mc500.test.2, 'question': 3}",What was born on the farm in the spring?,"A little boy named Justin lived on a farm.  His father James owned the farm.  His uncles Jerry, Todd, and Billy also worked on the farm.\newline\newlineThe farm had chickens, cows, horses, sheep, and pigs.  He loved to play with all of the animals on the farm, but the horses were his favorite.  He would spend all day riding the horses.  He loved when baby horses were born.  They were born in the spring.  When a baby horse was born, Justin's father would bring the baby out of the barn for Justin to pet.  \newline\newlineJustin also loved playing in the fields on the farm.  He would run through the meadows trying to catch butterflies.  He also loved to stay up late and catch fireflies in the dark.  \newline\newlineJustin also loved going fishing in the summer.  On one Tuesday evening, he went to the farm's pond and caught a huge catfish.  The fish was so large that it almost broke his fishing pole.  Justin brought the fish in.  \newline\newlineThe fish looked at Justin with sad eyes.  Looking at the fish, Justin felt bad that he had caught it.  He threw the catfish back into the pond.\newline \newlineHe packed away his fishing pole and went back home.  He told his father about the catfish and how he let it go.  \newline\newlineHis father said, ""I am proud of you for doing that, son.""","{'author': 4050452632, 'work_time': 1072, 'quality_score': 95, 'creativity_words': [riding, thank, auntie, walk, write, maybe, welcome, twinkle, sing, party, winning, bearing, arm, present, twinkle]}","{'A': a catfish, 'B': Justin, 'C': pigs, 'D': a baby horse}",D,TRUE
"{'story': mc500.test.3, 'question': 0}",What else happened to Jamie along with breaking his watch?,"Jamie was on the playground. As he was running towards his friends, he tripped on a classmate's toy truck and fell. He skinned his knee. He got up and saw that the watch that his brother had given him had broken when he fell. Jamie was very sad about his watch breaking, which was the second bad thing to happen to him today. One of his friends saw that he had fallen. Lindsay heard Jamie saying that his watch was broken. He was mad at the boy, Kevin, who had left his truck on the playground for Jamie to fall over. Lindsay tried to tell him that it was not his Kevin's fault that Jamie had fallen. She said, ""Let's take your watch to the teacher. I think Miss Henderson can fix it."" Miss Henderson fixed Jamie's watch, and told him to be more careful when he was running outside. After his watch was fixed and he felt better, Lindsay clapped. ""I told you it would be okay,"" she said. She and Jamie went out to play with their other friends.","{'author': 3387873229, 'work_time': 1286, 'quality_score': 100, 'creativity_words': [chew, playground, fourth, square, saying, letting, watch, towel, truck, second, box, clap, number, noodle, circus]}","{'A': He was late for class., 'B': He skinned his knee., 'C': He and Kevin got into a fight., 'D': He couldn't play with his friends.}",B,FALSE
"{'story': mc500.test.3, 'question': 1}",Where did Jamie get his watch from?,"Jamie was on the playground. As he was running towards his friends, he tripped on a classmate's toy truck and fell. He skinned his knee. He got up and saw that the watch that his brother had given him had broken when he fell. Jamie was very sad about his watch breaking, which was the second bad thing to happen to him today. One of his friends saw that he had fallen. Lindsay heard Jamie saying that his watch was broken. He was mad at the boy, Kevin, who had left his truck on the playground for Jamie to fall over. Lindsay tried to tell him that it was not his Kevin's fault that Jamie had fallen. She said, ""Let's take your watch to the teacher. I think Miss Henderson can fix it."" Miss Henderson fixed Jamie's watch, and told him to be more careful when he was running outside. After his watch was fixed and he felt better, Lindsay clapped. ""I told you it would be okay,"" she said. She and Jamie went out to play with their other friends.","{'author': 3387873229, 'work_time': 1286, 'quality_score': 100, 'creativity_words': [chew, playground, fourth, square, saying, letting, watch, towel, truck, second, box, clap, number, noodle, circus]}","{'A': His mother., 'B': His uncle., 'C': His grandfather., 'D': His brother.}",D,FALSE
"{'story': mc500.test.3, 'question': 2}",What was the name of the child who had the toy truck?,"Jamie was on the playground. As he was running towards his friends, he tripped on a classmate's toy truck and fell. He skinned his knee. He got up and saw that the watch that his brother had given him had broken when he fell. Jamie was very sad about his watch breaking, which was the second bad thing to happen to him today. One of his friends saw that he had fallen. Lindsay heard Jamie saying that his watch was broken. He was mad at the boy, Kevin, who had left his truck on the playground for Jamie to fall over. Lindsay tried to tell him that it was not his Kevin's fault that Jamie had fallen. She said, ""Let's take your watch to the teacher. I think Miss Henderson can fix it."" Miss Henderson fixed Jamie's watch, and told him to be more careful when he was running outside. After his watch was fixed and he felt better, Lindsay clapped. ""I told you it would be okay,"" she said. She and Jamie went out to play with their other friends.","{'author': 3387873229, 'work_time': 1286, 'quality_score': 100, 'creativity_words': [chew, playground, fourth, square, saying, letting, watch, towel, truck, second, box, clap, number, noodle, circus]}","{'A': Lindsay, 'B': Jimmy, 'C': Megan, 'D': Kevin}",D,FALSE
"{'story': mc500.test.3, 'question': 3}",What did Jamie trip over?,"Jamie was on the playground. As he was running towards his friends, he tripped on a classmate's toy truck and fell. He skinned his knee. He got up and saw that the watch that his brother had given him had broken when he fell. Jamie was very sad about his watch breaking, which was the second bad thing to happen to him today. One of his friends saw that he had fallen. Lindsay heard Jamie saying that his watch was broken. He was mad at the boy, Kevin, who had left his truck on the playground for Jamie to fall over. Lindsay tried to tell him that it was not his Kevin's fault that Jamie had fallen. She said, ""Let's take your watch to the teacher. I think Miss Henderson can fix it."" Miss Henderson fixed Jamie's watch, and told him to be more careful when he was running outside. After his watch was fixed and he felt better, Lindsay clapped. ""I told you it would be okay,"" she said. She and Jamie went out to play with their other friends.","{'author': 3387873229, 'work_time': 1286, 'quality_score': 100, 'creativity_words': [chew, playground, fourth, square, saying, letting, watch, towel, truck, second, box, clap, number, noodle, circus]}","{'A': A jump rope., 'B': A baseball bat., 'C': A toy truck., 'D': A set of sidewalk chalk.}",C,FALSE
"{'story': mc500.test.4, 'question': 0}",How did Asta and Sharkie become friends with the little girl?,"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long.\newline\newlineOne day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. \newline\newlineThe bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. \newline\newlineAsta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did.","{'author': 1899332958, 'work_time': 876, 'quality_score': 100, 'creativity_words': [belly, roll, cartoon, grass, circus, hide, ocean, papa, frosting, crayon, wrong, letting, egg, stink, bottle]}","{'A': They asked her to come play with them in the ocean., 'B': They wrote her a note and sent it to her with a bird., 'C': Asta's papa sent her an orange crayon in a bottle., 'D': They wrote her a note and sent it to her in another bottle.}",D,TRUE
"{'story': mc500.test.4, 'question': 1}",Why did they take the note to Asta's papa?,"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long.\newline\newlineOne day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. \newline\newlineThe bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. \newline\newlineAsta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did.","{'author': 1899332958, 'work_time': 876, 'quality_score': 100, 'creativity_words': [belly, roll, cartoon, grass, circus, hide, ocean, papa, frosting, crayon, wrong, letting, egg, stink, bottle]}","{'A': They could not open it., 'B': They wanted to be friends with a bird., 'C': They could not read it., 'D': They wanted to be friends with a little girl.}",C,TRUE
"{'story': mc500.test.4, 'question': 2}",What did the bottle look like?,"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long.\newline\newlineOne day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. \newline\newlineThe bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. \newline\newlineAsta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did.","{'author': 1899332958, 'work_time': 876, 'quality_score': 100, 'creativity_words': [belly, roll, cartoon, grass, circus, hide, ocean, papa, frosting, crayon, wrong, letting, egg, stink, bottle]}","{'A': a bird's belly, 'B': Sharkie, 'C': an orange crayon, 'D': a rock}",A,FALSE
"{'story': mc500.test.4, 'question': 3}",What was inside the bottle?,"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long.\newline\newlineOne day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. \newline\newlineThe bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. \newline\newlineAsta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did.","{'author': 1899332958, 'work_time': 876, 'quality_score': 100, 'creativity_words': [belly, roll, cartoon, grass, circus, hide, ocean, papa, frosting, crayon, wrong, letting, egg, stink, bottle]}","{'A': a rock, 'B': a note, 'C': a crayon, 'D': a bird}",B,FALSE
"{'story': mc500.test.5, 'question': 0}",Who was being mean to Derek?,"Derek was sad. He was playing in the school yard at recess and a girl in his class was being mean to him. Her name was Sandy. Sandy was best friends with Alexis. Alexis was nice to Derek, but Sandy kept being mean. Sandy kicked dirt at Derek and called him mean names. Alexis felt bad that her friend was so nasty to Derek. Derek knew that Sandy did not like him, so he sat down in the school yard with a big frown. All of a sudden, a stranger walked up to Derek and asked him if he wanted some rock sugar candy. He told Derek he had lots of sugar rock candy in his car in the parking lot. Derek remembered his parents telling him never to talk to strangers, so he started running away from the man. Sandy and Alexis were on the jungle gym and they saw Derek running from the stranger. They went to tell their teacher, Mrs. Mustard, who was still inside the classroom. Sandy and Alexis came into the classroom screaming for help. Derek ran into the classroom right after the girls. Mrs. Mustard looked out into the recess yard, but the stranger was gone. Jenny, Mrs. Mustard's helper, called the police to report what had happened.","{'author': 122687102, 'work_time': 1236, 'quality_score': 90, 'creativity_words': [mess, wind, girl, poke, wrong, hush, mouth, sugar, die, rock, bearing, mean, fingernail, stranger, meat]}","{'A': Alexis, 'B': Sandy, 'C': Jenny, 'D': Mrs. Mustard}",B,TRUE
"{'story': mc500.test.5, 'question': 1}",Who called the police?,"Derek was sad. He was playing in the school yard at recess and a girl in his class was being mean to him. Her name was Sandy. Sandy was best friends with Alexis. Alexis was nice to Derek, but Sandy kept being mean. Sandy kicked dirt at Derek and called him mean names. Alexis felt bad that her friend was so nasty to Derek. Derek knew that Sandy did not like him, so he sat down in the school yard with a big frown. All of a sudden, a stranger walked up to Derek and asked him if he wanted some rock sugar candy. He told Derek he had lots of sugar rock candy in his car in the parking lot. Derek remembered his parents telling him never to talk to strangers, so he started running away from the man. Sandy and Alexis were on the jungle gym and they saw Derek running from the stranger. They went to tell their teacher, Mrs. Mustard, who was still inside the classroom. Sandy and Alexis came into the classroom screaming for help. Derek ran into the classroom right after the girls. Mrs. Mustard looked out into the recess yard, but the stranger was gone. Jenny, Mrs. Mustard's helper, called the police to report what had happened.","{'author': 122687102, 'work_time': 1236, 'quality_score': 90, 'creativity_words': [mess, wind, girl, poke, wrong, hush, mouth, sugar, die, rock, bearing, mean, fingernail, stranger, meat]}","{'A': Jenny, 'B': Sandy, 'C': Alexis, 'D': Mrs. Mustard}",A,FALSE
"{'story': mc500.test.5, 'question': 2}",Where was Derek when the stranger walked up to him?,"Derek was sad. He was playing in the school yard at recess and a girl in his class was being mean to him. Her name was Sandy. Sandy was best friends with Alexis. Alexis was nice to Derek, but Sandy kept being mean. Sandy kicked dirt at Derek and called him mean names. Alexis felt bad that her friend was so nasty to Derek. Derek knew that Sandy did not like him, so he sat down in the school yard with a big frown. All of a sudden, a stranger walked up to Derek and asked him if he wanted some rock sugar candy. He told Derek he had lots of sugar rock candy in his car in the parking lot. Derek remembered his parents telling him never to talk to strangers, so he started running away from the man. Sandy and Alexis were on the jungle gym and they saw Derek running from the stranger. They went to tell their teacher, Mrs. Mustard, who was still inside the classroom. Sandy and Alexis came into the classroom screaming for help. Derek ran into the classroom right after the girls. Mrs. Mustard looked out into the recess yard, but the stranger was gone. Jenny, Mrs. Mustard's helper, called the police to report what had happened.","{'author': 122687102, 'work_time': 1236, 'quality_score': 90, 'creativity_words': [mess, wind, girl, poke, wrong, hush, mouth, sugar, die, rock, bearing, mean, fingernail, stranger, meat]}","{'A': The parking lot, 'B': The school yard, 'C': The classroom, 'D': The jungle gym}",B,TRUE
"{'story': mc500.test.5, 'question': 3}",Who told Mrs. Mustard about the stranger?,"Derek was sad. He was playing in the school yard at recess and a girl in his class was being mean to him. Her name was Sandy. Sandy was best friends with Alexis. Alexis was nice to Derek, but Sandy kept being mean. Sandy kicked dirt at Derek and called him mean names. Alexis felt bad that her friend was so nasty to Derek. Derek knew that Sandy did not like him, so he sat down in the school yard with a big frown. All of a sudden, a stranger walked up to Derek and asked him if he wanted some rock sugar candy. He told Derek he had lots of sugar rock candy in his car in the parking lot. Derek remembered his parents telling him never to talk to strangers, so he started running away from the man. Sandy and Alexis were on the jungle gym and they saw Derek running from the stranger. They went to tell their teacher, Mrs. Mustard, who was still inside the classroom. Sandy and Alexis came into the classroom screaming for help. Derek ran into the classroom right after the girls. Mrs. Mustard looked out into the recess yard, but the stranger was gone. Jenny, Mrs. Mustard's helper, called the police to report what had happened.","{'author': 122687102, 'work_time': 1236, 'quality_score': 90, 'creativity_words': [mess, wind, girl, poke, wrong, hush, mouth, sugar, die, rock, bearing, mean, fingernail, stranger, meat]}","{'A': The police, 'B': Jenny, 'C': Sandy and Alexis, 'D': Derek}",C,TRUE
"{'story': mc500.test.6, 'question': 0}",What does my friends want to be?,"I have a friend who is a princess of the piggies. No, really! She lives in a piggy castle and has piggy gowns and piggy balls and a piggy carriage, though no piggy crown. She loves being a princess, but sometimes it gets boring. There's only so much fun to be had walking around a castle. She likes to cook too. So sometimes, she goes to the kitchen. She has a lot of fun in the kitchen making new foods. She likes to pretend she's a cook! Someday she wants to be a piggy princess cook! One of her favorite things to cook is pea soup. She loves soup, and pea soup most of all, even if tomato is pretty good too. She doesn't like vegetable or chicken soup at all. She grows her own peas, mushes them up in the soup, and then stirs it all up with a spoon. She also cooks it on the stove. She loves to cook, and I love to eat. We're best friends!","{'author': 2875114411, 'work_time': 440, 'quality_score': 100, 'creativity_words': [draw, sweet, spoon, hope, winning, piggy, princess, pee, morning, sky, burn, fly, stick, gum, quieter]}","{'A': A ball, 'B': A spoon, 'C': A pea, 'D': A cook}",D,FALSE
