item_id	para	para_bold	question	opt1	opt2	opt3	opt4	correct_answer
2	"A little boy named Justin lived on a farm.  His father James owned the farm.  His uncles Jerry, Todd, and Billy also worked on the farm.\newline\newlineThe farm had chickens, cows, horses, sheep, and pigs.  He loved to play with all of the animals on the farm, but the horses were his favorite.  He would spend all day riding the horses.  He loved when baby horses were born.  They were born in the spring.  When a baby horse was born, Justin's father would bring the baby out of the barn for Justin to pet.  \newline\newlineJustin also loved playing in the fields on the farm.  He would run through the meadows trying to catch butterflies.  He also loved to stay up late and catch fireflies in the dark.  \newline\newlineJustin also loved going fishing in the summer.  On one Tuesday evening, he went to the farm's pond and caught a huge catfish.  The fish was so large that it almost broke his fishing pole.  Justin brought the fish in.  \newline\newlineThe fish looked at Justin with sad eyes.  Looking at the fish, Justin felt bad that he had caught it.  He threw the catfish back into the pond.\newline \newlineHe packed away his fishing pole and went back home.  He told his father about the catfish and how he let it go.  \newline\newlineHis father said, ""I am proud of you for doing that, son."""		What was Justin's father's name?	James	Jerry	Todd	Billy	James
2	"A little boy named Justin lived on a farm.  His father James owned the farm.  His uncles Jerry, Todd, and Billy also worked on the farm.\newline\newlineThe farm had chickens, cows, horses, sheep, and pigs.  He loved to play with all of the animals on the farm, but the horses were his favorite.  He would spend all day riding the horses.  He loved when baby horses were born.  They were born in the spring.  When a baby horse was born, Justin's father would bring the baby out of the barn for Justin to pet.  \newline\newlineJustin also loved playing in the fields on the farm.  He would run through the meadows trying to catch butterflies.  He also loved to stay up late and catch fireflies in the dark.  \newline\newlineJustin also loved going fishing in the summer.  On one Tuesday evening, he went to the farm's pond and caught a huge catfish.  The fish was so large that it almost broke his fishing pole.  Justin brought the fish in.  \newline\newlineThe fish looked at Justin with sad eyes.  Looking at the fish, Justin felt bad that he had caught it.  He threw the catfish back into the pond.\newline \newlineHe packed away his fishing pole and went back home.  He told his father about the catfish and how he let it go.  \newline\newlineHis father said, ""I am proud of you for doing that, son."""		What was born on the farm in the spring?	a catfish	Justin	pigs	a baby horse	a baby horse
3	"Jamie was on the playground. As he was running towards his friends, he tripped on a classmate's toy truck and fell. He skinned his knee. He got up and saw that the watch that his brother had given him had broken when he fell. Jamie was very sad about his watch breaking, which was the second bad thing to happen to him today. One of his friends saw that he had fallen. Lindsay heard Jamie saying that his watch was broken. He was mad at the boy, Kevin, who had left his truck on the playground for Jamie to fall over. Lindsay tried to tell him that it was not his Kevin's fault that Jamie had fallen. She said, ""Let's take your watch to the teacher. I think Miss Henderson can fix it."" Miss Henderson fixed Jamie's watch, and told him to be more careful when he was running outside. After his watch was fixed and he felt better, Lindsay clapped. ""I told you it would be okay,"" she said. She and Jamie went out to play with their other friends."		What else happened to Jamie along with breaking his watch?	He was late for class.	He skinned his knee.	He and Kevin got into a fight.	He couldn't play with his friends.	He skinned his knee.
3	"Jamie was on the playground. As he was running towards his friends, he tripped on a classmate's toy truck and fell. He skinned his knee. He got up and saw that the watch that his brother had given him had broken when he fell. Jamie was very sad about his watch breaking, which was the second bad thing to happen to him today. One of his friends saw that he had fallen. Lindsay heard Jamie saying that his watch was broken. He was mad at the boy, Kevin, who had left his truck on the playground for Jamie to fall over. Lindsay tried to tell him that it was not his Kevin's fault that Jamie had fallen. She said, ""Let's take your watch to the teacher. I think Miss Henderson can fix it."" Miss Henderson fixed Jamie's watch, and told him to be more careful when he was running outside. After his watch was fixed and he felt better, Lindsay clapped. ""I told you it would be okay,"" she said. She and Jamie went out to play with their other friends."		Where did Jamie get his watch from?	His mother.	His uncle.	His grandfather.	His brother.	His brother.
3	"Jamie was on the playground. As he was running towards his friends, he tripped on a classmate's toy truck and fell. He skinned his knee. He got up and saw that the watch that his brother had given him had broken when he fell. Jamie was very sad about his watch breaking, which was the second bad thing to happen to him today. One of his friends saw that he had fallen. Lindsay heard Jamie saying that his watch was broken. He was mad at the boy, Kevin, who had left his truck on the playground for Jamie to fall over. Lindsay tried to tell him that it was not his Kevin's fault that Jamie had fallen. She said, ""Let's take your watch to the teacher. I think Miss Henderson can fix it."" Miss Henderson fixed Jamie's watch, and told him to be more careful when he was running outside. After his watch was fixed and he felt better, Lindsay clapped. ""I told you it would be okay,"" she said. She and Jamie went out to play with their other friends."		What was the name of the child who had the toy truck?	Lindsay	Jimmy	Megan	Kevin	Kevin
3	"Jamie was on the playground. As he was running towards his friends, he tripped on a classmate's toy truck and fell. He skinned his knee. He got up and saw that the watch that his brother had given him had broken when he fell. Jamie was very sad about his watch breaking, which was the second bad thing to happen to him today. One of his friends saw that he had fallen. Lindsay heard Jamie saying that his watch was broken. He was mad at the boy, Kevin, who had left his truck on the playground for Jamie to fall over. Lindsay tried to tell him that it was not his Kevin's fault that Jamie had fallen. She said, ""Let's take your watch to the teacher. I think Miss Henderson can fix it."" Miss Henderson fixed Jamie's watch, and told him to be more careful when he was running outside. After his watch was fixed and he felt better, Lindsay clapped. ""I told you it would be okay,"" she said. She and Jamie went out to play with their other friends."		What did Jamie trip over?	A jump rope.	A baseball bat.	A toy truck.	A set of sidewalk chalk.	A toy truck.
4	"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long.\newline\newlineOne day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. \newline\newlineThe bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. \newline\newlineAsta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did."		How did Asta and Sharkie become friends with the little girl?	They asked her to come play with them in the ocean.	They wrote her a note and sent it to her with a bird.	Asta's papa sent her an orange crayon in a bottle.	They wrote her a note and sent it to her in another bottle.	They wrote her a note and sent it to her in another bottle.
4	"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long.\newline\newlineOne day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. \newline\newlineThe bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. \newline\newlineAsta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did."		Why did they take the note to Asta's papa?	They could not open it.	They wanted to be friends with a bird.	They could not read it.	They wanted to be friends with a little girl.	They could not read it.
4	"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long.\newline\newlineOne day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. \newline\newlineThe bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. \newline\newlineAsta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did."		What did the bottle look like?	a bird's belly	Sharkie	an orange crayon	a rock	a bird's belly
4	"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long.\newline\newlineOne day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. \newline\newlineThe bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. \newline\newlineAsta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did."		What was inside the bottle?	a rock	a note	a crayon	a bird	a note
5	Derek was sad. He was playing in the school yard at recess and a girl in his class was being mean to him. Her name was Sandy. Sandy was best friends with Alexis. Alexis was nice to Derek, but Sandy kept being mean. Sandy kicked dirt at Derek and called him mean names. Alexis felt bad that her friend was so nasty to Derek. Derek knew that Sandy did not like him, so he sat down in the school yard with a big frown. All of a sudden, a stranger walked up to Derek and asked him if he wanted some rock sugar candy. He told Derek he had lots of sugar rock candy in his car in the parking lot. Derek remembered his parents telling him never to talk to strangers, so he started running away from the man. Sandy and Alexis were on the jungle gym and they saw Derek running from the stranger. They went to tell their teacher, Mrs. Mustard, who was still inside the classroom. Sandy and Alexis came into the classroom screaming for help. Derek ran into the classroom right after the girls. Mrs. Mustard looked out into the recess yard, but the stranger was gone. Jenny, Mrs. Mustard's helper, called the police to report what had happened.		Who was being mean to Derek?	Alexis	Sandy	Jenny	Mrs. Mustard	Sandy
5	Derek was sad. He was playing in the school yard at recess and a girl in his class was being mean to him. Her name was Sandy. Sandy was best friends with Alexis. Alexis was nice to Derek, but Sandy kept being mean. Sandy kicked dirt at Derek and called him mean names. Alexis felt bad that her friend was so nasty to Derek. Derek knew that Sandy did not like him, so he sat down in the school yard with a big frown. All of a sudden, a stranger walked up to Derek and asked him if he wanted some rock sugar candy. He told Derek he had lots of sugar rock candy in his car in the parking lot. Derek remembered his parents telling him never to talk to strangers, so he started running away from the man. Sandy and Alexis were on the jungle gym and they saw Derek running from the stranger. They went to tell their teacher, Mrs. Mustard, who was still inside the classroom. Sandy and Alexis came into the classroom screaming for help. Derek ran into the classroom right after the girls. Mrs. Mustard looked out into the recess yard, but the stranger was gone. Jenny, Mrs. Mustard's helper, called the police to report what had happened.		Who called the police?	Jenny	Sandy	Alexis	Mrs. Mustard	Jenny
5	Derek was sad. He was playing in the school yard at recess and a girl in his class was being mean to him. Her name was Sandy. Sandy was best friends with Alexis. Alexis was nice to Derek, but Sandy kept being mean. Sandy kicked dirt at Derek and called him mean names. Alexis felt bad that her friend was so nasty to Derek. Derek knew that Sandy did not like him, so he sat down in the school yard with a big frown. All of a sudden, a stranger walked up to Derek and asked him if he wanted some rock sugar candy. He told Derek he had lots of sugar rock candy in his car in the parking lot. Derek remembered his parents telling him never to talk to strangers, so he started running away from the man. Sandy and Alexis were on the jungle gym and they saw Derek running from the stranger. They went to tell their teacher, Mrs. Mustard, who was still inside the classroom. Sandy and Alexis came into the classroom screaming for help. Derek ran into the classroom right after the girls. Mrs. Mustard looked out into the recess yard, but the stranger was gone. Jenny, Mrs. Mustard's helper, called the police to report what had happened.		Where was Derek when the stranger walked up to him?	The parking lot	The school yard	The classroom	The jungle gym	The school yard
5	Derek was sad. He was playing in the school yard at recess and a girl in his class was being mean to him. Her name was Sandy. Sandy was best friends with Alexis. Alexis was nice to Derek, but Sandy kept being mean. Sandy kicked dirt at Derek and called him mean names. Alexis felt bad that her friend was so nasty to Derek. Derek knew that Sandy did not like him, so he sat down in the school yard with a big frown. All of a sudden, a stranger walked up to Derek and asked him if he wanted some rock sugar candy. He told Derek he had lots of sugar rock candy in his car in the parking lot. Derek remembered his parents telling him never to talk to strangers, so he started running away from the man. Sandy and Alexis were on the jungle gym and they saw Derek running from the stranger. They went to tell their teacher, Mrs. Mustard, who was still inside the classroom. Sandy and Alexis came into the classroom screaming for help. Derek ran into the classroom right after the girls. Mrs. Mustard looked out into the recess yard, but the stranger was gone. Jenny, Mrs. Mustard's helper, called the police to report what had happened.		Who told Mrs. Mustard about the stranger?	The police	Jenny	Sandy and Alexis	Derek	Sandy and Alexis
6	I have a friend who is a princess of the piggies. No, really! She lives in a piggy castle and has piggy gowns and piggy balls and a piggy carriage, though no piggy crown. She loves being a princess, but sometimes it gets boring. There's only so much fun to be had walking around a castle. She likes to cook too. So sometimes, she goes to the kitchen. She has a lot of fun in the kitchen making new foods. She likes to pretend she's a cook! Someday she wants to be a piggy princess cook! One of her favorite things to cook is pea soup. She loves soup, and pea soup most of all, even if tomato is pretty good too. She doesn't like vegetable or chicken soup at all. She grows her own peas, mushes them up in the soup, and then stirs it all up with a spoon. She also cooks it on the stove. She loves to cook, and I love to eat. We're best friends!		What does my friends want to be?	A ball	A spoon	A pea	A cook	A cook
6	I have a friend who is a princess of the piggies. No, really! She lives in a piggy castle and has piggy gowns and piggy balls and a piggy carriage, though no piggy crown. She loves being a princess, but sometimes it gets boring. There's only so much fun to be had walking around a castle. She likes to cook too. So sometimes, she goes to the kitchen. She has a lot of fun in the kitchen making new foods. She likes to pretend she's a cook! Someday she wants to be a piggy princess cook! One of her favorite things to cook is pea soup. She loves soup, and pea soup most of all, even if tomato is pretty good too. She doesn't like vegetable or chicken soup at all. She grows her own peas, mushes them up in the soup, and then stirs it all up with a spoon. She also cooks it on the stove. She loves to cook, and I love to eat. We're best friends!		What is my friend's favorite kind of soup?	Pea	Chicken	Vegetable	Tomato	Pea
6	I have a friend who is a princess of the piggies. No, really! She lives in a piggy castle and has piggy gowns and piggy balls and a piggy carriage, though no piggy crown. She loves being a princess, but sometimes it gets boring. There's only so much fun to be had walking around a castle. She likes to cook too. So sometimes, she goes to the kitchen. She has a lot of fun in the kitchen making new foods. She likes to pretend she's a cook! Someday she wants to be a piggy princess cook! One of her favorite things to cook is pea soup. She loves soup, and pea soup most of all, even if tomato is pretty good too. She doesn't like vegetable or chicken soup at all. She grows her own peas, mushes them up in the soup, and then stirs it all up with a spoon. She also cooks it on the stove. She loves to cook, and I love to eat. We're best friends!		What doesn't my piggy princess friend have?	Crown	Castle	A best friend	Carriage	Crown
6	I have a friend who is a princess of the piggies. No, really! She lives in a piggy castle and has piggy gowns and piggy balls and a piggy carriage, though no piggy crown. She loves being a princess, but sometimes it gets boring. There's only so much fun to be had walking around a castle. She likes to cook too. So sometimes, she goes to the kitchen. She has a lot of fun in the kitchen making new foods. She likes to pretend she's a cook! Someday she wants to be a piggy princess cook! One of her favorite things to cook is pea soup. She loves soup, and pea soup most of all, even if tomato is pretty good too. She doesn't like vegetable or chicken soup at all. She grows her own peas, mushes them up in the soup, and then stirs it all up with a spoon. She also cooks it on the stove. She loves to cook, and I love to eat. We're best friends!		What do my friend and I do together?	Grow peas	Play tag	Go to balls	Cook and eat	Cook and eat
7	"There was once a group of kittens who all liked to play together. Their names were Fluffy, Snowball, Cookie Monster, and Larry. Fluffy was the leader of the group, and whatever he said, the others did. One day he said, ""Hey, everybody, let's go chase some mice."" Everyone said ""Yes!"" except Larry. Larry did not want to chase mice. Larry wanted to drink some milk. He told Fluffy, and Fluffy only said ""too bad."" So everyone went off to chase mice. The next day Fluffy said, ""Hey, everybody, let's go annoy the dogs."" Everyone said ""Yes"" except Larry. Larry thought it was a bad idea. He told Fluffy, and Fluffy only said, ""Too bad."" So everyone went off to annoy the dogs. Except Larry. When the cats annoyed the dogs, the dogs became very angry. They started growling. They caught the kittens in their paws. The kittens yelled, ""Help us!"" Larry heard, and he ran over and hissed at the dogs. The dogs could not see Larry, only his shadow, which looked very big. The dogs got scared and ran away, and the kittens cheered. ""Yay Larry! We'll do anything you want!"""		Which kitten was the leader?	Cookie Monster	Fluffy	Snowball	Larry	Fluffy
7	"There was once a group of kittens who all liked to play together. Their names were Fluffy, Snowball, Cookie Monster, and Larry. Fluffy was the leader of the group, and whatever he said, the others did. One day he said, ""Hey, everybody, let's go chase some mice."" Everyone said ""Yes!"" except Larry. Larry did not want to chase mice. Larry wanted to drink some milk. He told Fluffy, and Fluffy only said ""too bad."" So everyone went off to chase mice. The next day Fluffy said, ""Hey, everybody, let's go annoy the dogs."" Everyone said ""Yes"" except Larry. Larry thought it was a bad idea. He told Fluffy, and Fluffy only said, ""Too bad."" So everyone went off to annoy the dogs. Except Larry. When the cats annoyed the dogs, the dogs became very angry. They started growling. They caught the kittens in their paws. The kittens yelled, ""Help us!"" Larry heard, and he ran over and hissed at the dogs. The dogs could not see Larry, only his shadow, which looked very big. The dogs got scared and ran away, and the kittens cheered. ""Yay Larry! We'll do anything you want!"""		What did Fluffy want to do the first day?	Play together.	Drink milk.	Annoy the dogs.	Chase mice.	Chase mice.
7	"There was once a group of kittens who all liked to play together. Their names were Fluffy, Snowball, Cookie Monster, and Larry. Fluffy was the leader of the group, and whatever he said, the others did. One day he said, ""Hey, everybody, let's go chase some mice."" Everyone said ""Yes!"" except Larry. Larry did not want to chase mice. Larry wanted to drink some milk. He told Fluffy, and Fluffy only said ""too bad."" So everyone went off to chase mice. The next day Fluffy said, ""Hey, everybody, let's go annoy the dogs."" Everyone said ""Yes"" except Larry. Larry thought it was a bad idea. He told Fluffy, and Fluffy only said, ""Too bad."" So everyone went off to annoy the dogs. Except Larry. When the cats annoyed the dogs, the dogs became very angry. They started growling. They caught the kittens in their paws. The kittens yelled, ""Help us!"" Larry heard, and he ran over and hissed at the dogs. The dogs could not see Larry, only his shadow, which looked very big. The dogs got scared and ran away, and the kittens cheered. ""Yay Larry! We'll do anything you want!"""		What did Larry think was a bad idea?	Annoying the dogs.	Chasing mice.	Playing together.	Drinking milk.	Annoying the dogs.
7	"There was once a group of kittens who all liked to play together. Their names were Fluffy, Snowball, Cookie Monster, and Larry. Fluffy was the leader of the group, and whatever he said, the others did. One day he said, ""Hey, everybody, let's go chase some mice."" Everyone said ""Yes!"" except Larry. Larry did not want to chase mice. Larry wanted to drink some milk. He told Fluffy, and Fluffy only said ""too bad."" So everyone went off to chase mice. The next day Fluffy said, ""Hey, everybody, let's go annoy the dogs."" Everyone said ""Yes"" except Larry. Larry thought it was a bad idea. He told Fluffy, and Fluffy only said, ""Too bad."" So everyone went off to annoy the dogs. Except Larry. When the cats annoyed the dogs, the dogs became very angry. They started growling. They caught the kittens in their paws. The kittens yelled, ""Help us!"" Larry heard, and he ran over and hissed at the dogs. The dogs could not see Larry, only his shadow, which looked very big. The dogs got scared and ran away, and the kittens cheered. ""Yay Larry! We'll do anything you want!"""		Which kitten scared away the dogs?	Larry	Cookie Monster	Snowball	Fluffy	Larry
